Status,Nama Kapal,Flag State,Jenis Kapal,DWT,Capacity,EHP ME,No ME,MCR ME,PME,EHP AE,No AE,PAE,Vs,Vservice,Vref,MCRavg,Vapp,Vavg,Margin,Att. EEXI,Reference Line,Reduction Factor,Req. EEXI,Req - Att,Att/Req,Judgment
ACTIVE,EVER FASHION,LIBERIA,Container,130573,130573,41080,1,41080,30810,1020.25,3,3060.75,22,22,21.77776258,16394.60396,19.79186675,15.33863283,0.766931641,7.846758291,3.885044476,0.2,3.10803558,-4.73872271,2.524668102,Not Comply
ACTIVE,EVER FAVOR,LIBERIA,Container,130573,130573,41080,1,41080,30810,1020.25,3,3060.75,23.5,23.5,23.26261003,16394.60396,19.79186675,15.33863283,0.766931641,7.846758291,3.885044476,0.2,3.10803558,-4.73872271,2.524668102,Not Comply
ACTIVE,EVER FINE,PANAMA,Container,130573,130573,41080,1,41080,30810,1020.25,3,3060.75,23.1,23.1,22.86665071,16394.60396,19.79186675,15.33863283,0.766931641,7.846758291,3.885044476,0.2,3.10803558,-4.73872271,2.524668102,Not Comply
ACTIVE,EVER FOND,LIBERIA,Container,130573,130573,41080,1,41080,30810,1020.25,3,3060.75,15.9,15.9,15.73938296,16394.60396,19.79186675,15.33863283,0.766931641,7.846758291,3.885044476,0.2,3.10803558,-4.73872271,2.524668102,Not Comply
ACTIVE,EVER FORE,PANAMA,Container,130573,130573,41080,1,41080,30810,1020.25,3,3060.75,23.7,23.7,23.46058969,16394.60396,19.79186675,15.33863283,0.766931641,7.846758291,3.885044476,0.2,3.10803558,-4.73872271,2.524668102,Not Comply
ACTIVE,EVER FULL,LIBERIA,Container,130573,130573,41080,1,41080,30810,1020.25,3,3060.75,17.4,17.4,17.22423041,16394.60396,19.79186675,15.33863283,0.766931641,7.846758291,3.885044476,0.2,3.10803558,-4.73872271,2.524668102,Not Comply
ACTIVE,EVER GIFTED,SINGAPORE,Container,198886,198886,59300,1,59300,44475,1361.875,3,4085.625,13.5,13.5,13.36362704,20735.92478,21.15719857,15.69004282,0.784502141,6.903597588,3.163833276,0.2,2.531066621,-4.372530967,2.727544795,Not Comply
ACTIVE,EVER GLOBE,PANAMA,Container,198937,198937,59300,1,59300,44475,1361.875,3,4085.625,17.7,17.7,17.5211999,20738.89303,21.15648115,15.69025937,0.784512968,6.902061809,3.163437439,0.2,2.530749951,-4.371311858,2.727279242,Not Comply
ACTIVE,EVER GRADE,PANAMA,Container,198886,198886,59300,1,59300,44475,1361.875,3,4085.625,12.1,12.1,11.97776942,20735.92478,21.15719857,15.69004282,0.784502141,6.903597588,3.163833276,0.2,2.531066621,-4.372530967,2.727544795,Not Comply
ACTIVE,EVER GREET,PANAMA,Container,198937,198937,59300,1,59300,44475,1361.875,3,4085.625,16,16,15.83837279,20738.89303,21.15648115,15.69025937,0.784512968,6.902061809,3.163437439,0.2,2.530749951,-4.371311858,2.727279242,Not Comply
ACTIVE,EVER LADEN,PANAMA,Container,103668,103668,56070,1,56070,42052.5,1301.3125,3,3903.9375,26.4,26.4,26.1333151,14413.13459,22.6346298,15.14929488,0.757464744,11.71730747,4.348082965,0.2,3.478466372,-8.238841102,3.36852688,Not Comply
ACTIVE,EVER LOGIC,TAIWAN,Container,103518,103518,56070,1,56070,42052.5,1301.3125,3,3903.9375,26,26,25.73735578,14401.48849,22.63896485,15.14811412,0.757405706,11.73203917,4.351156456,0.2,3.480925165,-8.25111401,3.370379603,Not Comply
ACTIVE,EVER LOTUS,PANAMA,Container,103723,103723,56070,1,56070,42052.5,1301.3125,3,3903.9375,25.9,25.9,25.63836595,14417.40296,22.63304207,15.14972742,0.757486371,11.71191582,4.346957675,0.2,3.47756614,-8.23434968,3.367848474,Not Comply
ACTIVE,EVER LOYAL,TAIWAN,Container,103668,103668,56070,1,56070,42052.5,1301.3125,3,3903.9375,26.1,26.1,25.83634561,14413.13459,22.6346298,15.14929488,0.757464744,11.71730747,4.348082965,0.2,3.478466372,-8.238841102,3.36852688,Not Comply
ACTIVE,EVER LUCID,TAIWAN,Container,103891,103891,56070,1,56070,42052.5,1301.3125,3,3903.9375,26.5,26.5,26.23230493,14430.4347,22.62819815,15.15104729,0.757552364,11.69547979,4.343525919,0.2,3.474820735,-8.220659051,3.365779324,Not Comply
ACTIVE,EVER LUCKY,PANAMA,Container,103668,103668,56070,1,56070,42052.5,1301.3125,3,3903.9375,25.8,25.8,25.53937612,14413.13459,22.6346298,15.14929488,0.757464744,11.71730747,4.348082965,0.2,3.478466372,-8.238841102,3.36852688,Not Comply
ACTIVE,EVER LUNAR,TAIWAN,Container,103891,103891,56070,1,56070,42052.5,1301.3125,3,3903.9375,27,27,26.72725408,14430.4347,22.62819815,15.15104729,0.757552364,11.69547979,4.343525919,0.2,3.474820735,-8.220659051,3.365779324,Not Comply
